Blog	business	friends	photo	small	companies	online	makes	another	support	talking	whether	should	back	ways	high	he	thing	getting	off	into	opportunity	his	tips	making	use	keep	better	asked	me	interview	questions	state	well	d	amp	media	started	video	using	top	following	com	b	reasons	web	money	website	thanks	our	site	there	great	here	least	which	being	re	because	others	few	ask	question	recently	ve	stuff	soon	youtube	c	hope	things	us	any	love	please	don	where	conversation	story	day	something	why	director	called	other	week	her	name	team	months	ago	really	thought	kind	never	answer	myself	let	see	favorite	she	nothing	much	come	happened	almost	every	got	office	took	wanted	even	once	month	everyone	had	take	place	no	who	knew	would	wrote	email	while	think	going	means	learn	just	work	real	time	around	made	easy	head	need	point	do	away	bit	press	make	sure	also	want	give	fun	during	takes	long	co	might	year	find	way	together	lot	events	happy	hour	same	talk	only	know	company	else	did	look	own	may	working	hard	personal	fact	try	important	isn	big	true	enough	close	article	write	along	feel	free	share	too	always	say	itself	america	wasn	third	family	used	its	today	idea	seems	than	ever	episode	different	ones	released	instead	president	tell	e	taking	three	face	next	found	old	best	m	very	good	successful	shows	running	far	each	create	many	days	sometimes	less	course	writing	already	under	games	movie	short	show	done	yet	spent	four	start	second	could	these	probably	were	stop	world	design	through	life	phone	camera	finally	looks	ll	videos	friend	then	didn	does	quickly	doing	latest	run	product	learning	system	track	feature	iphone	available	app	store	clear	especially	before	notes	left	add	tools	line	save	them	apple	features	photos	example	special	links	project	via	behind	won	coming	version	interesting	seeing	search	since	told	update	go	page	right	results	looking	information	security	someone	report	morning	am	down	until	ideas	twitter	mobile	check	word	simple	th	software	still	help	minutes	facebook	both	users	read	recent	experience	change	forward	past	years	such	those	account	actually	turn	party	blog	community	become	trying	matter	live	little	harassment	hours	building	social	open	two	part	hands	between	internet	build	chris	cover	reading	include	post	book	seem	deal	rules	times	comes	thinking	level	doesn	must	cost	often	perhaps	case	art	including	sexual	last	mean	saying	center	understand	david	problem	full	group	side	call	bad	room	likely	number	without	anyone	worth	needs	friday	though	mueller	according	said	city	end	five	went	white	house	early	him	news	election	continue	night	u	government	john	pretty	put	maybe	later	self	quite	car	bill	o	women	mark	game	trump	view	mdash	october	wrong	campaign	set	amazon	appeared	future	original	google	data	cool	content	technology	large	public	again	ad	guy	man	list	service	san	nbsp	words	sound	tech	says	based	x	home	screen	device	smart	hand	hit	play	within	against	everything	research	per	seen	former	series	american	russia	intelligence	development	key	york	music	created	order	computer	stranger	k	tv	million	cars	came	watch	network	stories	half	halloween	power	remember	donald	buy	price	known
The Write News	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	3	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	2	15	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	2	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	1	15	0	0	0	0	1	2	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	14	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	12	0	0	0
blog maverick	0	0	0	0	1	0	0	0	0	0	0	1	2	0	0	1	0	1	0	2	0	0	0	0	1	0	1	0	2	0	0	1	0	0	0	2	1	0	0	0	0	3	0	0	0	3	0	0	3	1	4	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	1	1	1	2	0	0	0	2	0	1	0	1	1	2	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	2	0	2	0	0	1	1	1	0	3	1	0	1	0	1	1	1	0	0	0	0	0	2	2	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	2	0	0	2	4	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	2	0	0	0	0	0	2	2	0	0	0	1	0	0	0	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	3	0	2	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	1	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	1	1	0	0	0	0	0	0	1	4	2	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Boing Boing	2	1	0	3	0	3	3	1	0	2	0	0	5	0	0	28	2	1	0	10	0	19	0	0	2	1	1	1	3	1	1	2	2	4	1	3	1	16	0	3	0	2	1	1	0	1	0	0	9	0	3	2	8	1	5	1	1	2	2	3	0	0	1	6	0	0	4	1	1	4	1	4	1	2	3	5	2	6	7	4	4	1	6	5	1	5	0	1	1	2	0	1	4	6	1	0	0	2	1	5	0	5	3	2	2	5	3	0	2	0	3	3	2	1	13	4	1	7	11	2	8	2	0	2	2	1	0	1	5	2	0	10	2	6	1	0	1	0	3	4	3	1	6	0	3	4	3	1	4	0	3	1	5	4	2	3	1	2	2	0	0	1	0	4	3	1	0	5	0	3	2	3	1	5	1	1	0	0	1	0	2	1	1	1	2	0	3	0	4	3	6	0	1	1	1	1	2	9	0	3	1	4	2	2	1	1	1	1	0	0	0	0	0	4	2	2	0	0	7	5	2	1	0	1	2	2	0	2	1	4	1	1	0	1	5	1	0	0	1	0	0	4	0	0	7	0	3	0	10	2	5	1	4	2	0	3	0	1	3	4	0	1	3	3	1	0	1	0	1	0	6	4	1	4	3	1	1	0	0	2	0	1	0	0	0	0	6	0	0	0	0	0	1	1	2	2	2	1	2	0	0	1	1	1	0	4	0	1	1	1	2	0	0	1	2	1	3	2	4	0	0	1	0	0	0	0	3	1	2	0	2	1	0	1	2	0	0	1	5	4	2	0	0	1	3	0	2	0	0	0	0	0	0	3	1	0	1	3	3	0	1	0	0	8	1	0	1	2	1	1	1	0	13	0	0	2	3	0	2	1	1	0	0	5	0	4	0	0	1	0	2	0	2	3	0	1	0	1	2	2	3	2	0	0	0	2	0	3	15	0	1	0	6	0	1	2	7	0	0	0	2	1	6	4	0	0	0	0	0	4	0	2	0	15	0	0	4	1	0	2	1	0	1	1	0	2	2	1	2	1	1	0	0	2	4	0	5	6	1	2	0	1	3	3	0	1	2	0	0	3	2	0	0	0	0	2	1	3	0	5	1	1	2	2	0	0	2	1	11	1	0	0	4	2	0	3	2	0	2	5	1	0	2	0	0	0	4	1	0	2
BuzzMachine	1	0	1	1	1	1	0	1	0	1	0	0	1	2	0	5	0	0	0	1	1	1	0	1	0	1	3	1	3	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	8	0	2	0	4	0	0	0	0	1	1	1	1	0	0	2	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	2	0	0	0	0	1	0	0	0	0	0	0	1	0	3	1	0	0	0	0	0	1	0	0	1	0	0	0	0	3	0	0	0	0	0	1	0	0	2	0	0	0	0	1	0	3	0	0	0	0	0	0	0	4	0	0	5	2	1	0	4	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	2	0	0	3	1	0	0	0	0	0	0	0	0	0	1	1	2	2	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	2	0	0	0	0	0	0	2	0	1	0	1	0	0	0	0	1	0	2	2	0	1	2	0	0	1	0	0	0	0	0	2	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	2	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	3	0	2	0	0	2	0	1	2	1	1	0	1	0	0	0	0	0	0	2	3	0	11	0	1	0	0	1	4	0	0	4	2	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	16	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	2	2	1	0	0	0	0	0	0	3	0	0	0	0	4	0	1	0	0	0	0	0	1	18	2	0	0	0	1	1	0	0	0	3	0	0	0	0	0	0	3	0	9	0	0	0	1	4	0	0	15	1	0	1	0	0	1	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	3	0	0	0
Captain's Quarters	0	0	0	0	0	0	0	1	0	0	0	2	2	0	0	6	0	0	1	2	1	6	0	0	1	1	0	0	2	3	0	2	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	4	2	0	0	0	0	2	1	1	0	0	2	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	1	1	1	0	0	3	1	0	1	1	0	1	0	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	3	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	1	1	0	0	1	0	3	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	3	2	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	2	0	0	0	0	2	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Cool Hunting	0	0	0	0	0	0	2	0	1	0	0	0	4	0	1	0	0	0	1	4	0	4	0	3	0	0	1	1	0	1	0	0	1	1	0	0	0	4	1	2	0	0	1	0	0	0	0	1	0	1	1	0	0	0	6	2	2	1	0	1	0	0	1	1	0	0	0	2	0	1	2	0	1	0	0	0	0	0	1	2	0	1	1	0	5	3	0	2	0	0	0	0	0	0	0	0	0	0	1	2	2	2	1	0	1	3	0	0	1	0	5	0	0	2	0	3	0	3	4	0	2	1	0	8	0	0	0	0	4	1	0	4	2	3	0	2	0	1	1	0	0	0	1	0	2	0	0	0	0	0	1	3	2	5	0	2	0	0	0	0	0	0	0	1	0	2	1	0	0	1	1	0	0	0	0	0	1	3	0	1	0	0	0	0	1	1	0	0	0	1	0	0	1	0	2	1	3	4	1	0	0	7	3	0	1	0	2	1	0	0	1	0	2	1	1	1	5	1	0	2	0	0	0	0	0	2	1	2	1	0	2	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	5	0	0	0	6	9	1	2	0	0	0	0	0	0	0	1	0	0	0	0	3	0	1	1	1	6	0	0	2	2	0	2	0	2	2	0	0	0	1	0	0	1	0	0	0	1	0	2	0	2	0	0	1	0	1	0	3	0	0	0	1	1	0	0	0	0	0	0	1	0	2	0	0	0	0	0	2	0	0	0	3	0	1	0	2	0	0	2	1	0	3	0	4	0	4	0	0	0	0	0	1	0	0	0	2	1	1	0	0	0	2	2	2	0	4	0	0	2	2	51	0	0	3	0	0	0	1	2	0	0	1	1	0	0	2	1	11	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	2	1	0	0	0	0	2	0	0	1	2	2	0	1	0	0	0	1	0	0	50	0	0	1	0	0	0	0	0	3	0	0	0	3	1	0	0	0	0	0	0	0	1	1	0	0	3	0	2	0	0	0	0	1	3	1	0	1	0	0	0	0	0	0	1	2	3	6	4	1	0	0	0	0	0	0	1	0	3	0	2	0	1	4	0	0	0	0	0	1	4	2	0	0	4	0	0	0	2	0	2	0	0	0	4	2	0	0	7	0	5
Copyblogger	0	0	0	1	0	2	0	1	0	0	1	0	0	0	0	0	0	2	0	2	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	6	0	1	1	1	0	1	0	3	3	0	0	0	1	0	5	0	0	0	0	0	1	2	1	3	0	0	1	0	2	0	0	2	0	0	0	4	0	0	2	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	2	3	1	0	0	0	0	0	2	1	0	0	1	2	1	2	2	0	0	0	0	0	2	0	0	0	2	0	1	1	0	0	1	0	0	0	1	0	2	1	1	1	0	0	0	1	2	0	1	0	0	0	0	0	2	0	1	0	1	0	0	0	0	0	1	0	1	1	0	2	0	0	0	1	0	0	0	0	0	0	1	1	1	0	1	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	2	2	0	6	0	0	0	0	0	0	0	0	1	0	0	5	0	0	0	0	0	0	0	0	0	1	0	0	0	2	1	1	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	10	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	1	0	1	0	0	12	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1
Latest from Crooks and Liars	0	3	0	0	0	1	0	0	0	1	1	1	1	0	0	11	2	0	0	3	0	4	0	0	0	0	0	3	3	0	0	0	1	1	4	1	2	0	0	0	0	3	0	0	0	1	0	0	2	0	2	1	1	1	4	0	0	3	0	1	0	0	0	3	0	3	1	4	0	0	1	2	0	1	1	4	0	2	0	0	3	0	2	0	5	5	1	0	0	1	0	0	0	3	0	0	0	1	0	3	2	0	1	0	0	3	0	2	1	0	1	1	0	0	3	1	2	2	10	0	1	2	0	0	1	0	0	0	1	0	0	0	2	2	0	0	2	0	1	2	0	3	1	0	1	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	2	0	5	1	1	0	0	1	1	0	1	0	0	0	0	0	0	0	1	1	0	1	1	1	0	2	0	0	0	0	1	1	0	0	2	1	0	0	0	0	1	8	0	0	1	0	1	1	0	1	0	0	1	3	1	0	2	0	0	0	1	2	0	0	5	0	0	2	0	0	0	1	0	0	2	1	0	0	1	4	0	4	0	0	0	1	0	0	0	1	0	0	0	0	2	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	4	0	0	0	0	4	0	0	1	2	0	0	0	0	0	0	1	1	0	1	0	3	0	0	0	1	2	1	2	2	1	0	0	4	0	0	1	0	0	0	1	2	1	1	0	0	6	0	0	1	1	0	4	1	0	0	1	0	0	0	0	1	4	2	0	0	2	0	0	1	1	1	0	0	2	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	1	1	0	0	1	1	0	3	2	3	0	0	0	0	0	0	0	0	0	2	1	0	0	0	1	2	0	1	6	0	3	2	8	0	0	0	0	5	5	0	0	8	4	0	0	0	1	1	0	1	0	0	1	0	0	0	0	3	1	0	19	0	3	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2	4	1	2	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	4	0	1	0	1	1	0	1	5	1	0	1	0	1	0	2	0	0	0	0	2	0	0	2	1	0	0	1	0	1	6	1	0	0
http://feeds.dailykos.com/dailykos/index.xml	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Deadspin	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	4	0	1	4	1	0	6	0	0	2	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	2	1	0	0	1	0	0	0	1	0	0	3	6	0	2	1	3	0	0	2	2	0	0	0	1	0	0	0	0	1	1	1	1	0	1	3	0	1	3	0	0	0	0	1	3	0	0	2	0	0	2	0	0	1	0	0	0	3	0	0	1	1	2	1	0	1	0	0	0	1	1	2	0	1	4	3	0	3	5	0	3	0	0	2	1	1	0	0	3	1	0	5	1	2	0	0	1	0	2	0	0	0	2	1	0	1	0	0	4	0	0	0	1	1	0	2	0	1	0	0	1	0	0	1	0	1	0	0	1	3	0	1	0	0	0	0	2	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	4	2	2	3	3	0	0	0	1	0	0	0	0	1	0	1	0	0	1	3	1	7	3	0	0	1	0	0	0	1	0	0	2	0	0	0	1	4	0	1	1	0	1	0	0	1	1	0	1	1	2	0	1	0	2	0	0	0	0	0	2	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	3	1	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	3	0	0	0	1	0	24	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	1	1	0	2	0	0	0	0	1	0	0	1	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	1	0	1	0	0	0	3	2	0	0	0	0	0	0	4	0	0	1	0	0	0	1	2	1	0	1	0	4	0	0	3	0	0	0	1	1	0	0	0	0	1	0	0	0	0	6	0	0	0	3	0	0	2	3	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	2	0	0	1	0	1	0	0	2	0	0	0	0	0	1	0	0	1	0	0	2	1	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0
Tech	1	1	0	0	0	2	0	0	0	0	0	3	0	0	0	1	0	1	2	1	0	1	0	1	1	0	0	0	0	1	0	0	0	1	0	4	0	0	2	0	0	0	0	0	0	1	1	0	2	1	1	0	1	0	1	0	0	1	0	0	0	1	1	4	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	0	0	0	0	2	1	0	0	1	1	0	1	0	1	0	0	1	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0	2	0	0	0	0	0	0	0	1	0	0	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	1	3	0	1	1	2	1	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	1	0	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	1	0	2	3	2	1	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	2	0	0	4	1	0	0	0	0	1	0	0	2	0	1	0	1	0	0	0	3	0	5	0	0	0	1	0	0	1	0	1	0	0	2	0	0	0	0	0	2	0	0	0	1	1	0	0	6	0	0	0	0	0	2	1	0	0	0	2	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	1	4	1	0	0	3	0	2	0	0	0	1	0	1	1	0	0	0	5	4	0	2	2	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	2	2	0	0	0	1	0
Engadget RSS Feed	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	3	2	4	0	1	0	2	1	0	1	0	0	0	0	0	1	1	3	0	1	1	0	0	1	0	0	0	0	1	1	0	0	0	1	1	0	1	2	4	4	0	0	2	0	0	0	0	0	0	3	0	0	3	3	0	1	0	0	0	0	1	1	1	0	2	1	1	1	0	1	2	1	2	0	0	1	0	0	0	0	2	1	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	4	1	0	0	3	0	1	0	0	3	0	2	0	0	3	1	2	1	0	1	0	0	0	1	4	0	1	1	4	0	2	0	0	0	1	1	2	1	3	3	1	0	0	0	0	0	1	0	0	1	1	2	0	0	0	1	3	3	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	11	3	0	0	0	3	0	0	0	1	1	0	0	0	3	0	2	3	0	0	3	0	1	3	0	0	0	0	0	0	0	0	0	1	0	0	1	2	0	2	0	3	1	1	0	0	0	1	1	0	0	1	0	2	0	0	1	0	0	1	1	2	1	0	2	1	1	0	0	0	0	0	1	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	2	0	0	0	0	0	0	0	0	1	1	1	1	0	2	0	1	0	0	0	2	0	0	1	0	0	6	2	0	0	0	2	0	0	1	1	5	2	0	2	0	0	0	0	0	3	0	0	0	0	0	0	0	1	1	1	0	1	0	1	0	0	0	0	1	1	0	1	0	0	0	0	0	0	1	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	1	0	0	0	2	0	2	1	0	0	0	0	0	1	0	3	0	0	0	0	0	0	1	0	0	3	3	0	0	1	0	0	0	3	1	0	0	0	0	0	2	0	0	7	1	0	0	1	0	1	0	4	0	1	0	2	1	0	1	1	0	0	0	1	0	0	0	1	0	0	0	2	3	0	1	3	0	0	2	1	0	2	0	2	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	2	0	0	1	0	0	0	0	0	1	0	0	0	0	3	2	0
